Memories ,negatif,neutral,positif,compound,level_feel
"I work for an architect firm.
I love to cook.
I am looking for someone.
I have three dogs.
I enjoy fishing.",0.0,0.67,0.33,0.8126,2
"My favorite color is grey.
I love to do yoga.
My passion is writing.
I am single.",0.0,0.491,0.509,0.886,2
"I teach at a large school.
My class has 26 kids.
I graduated college in 2016.
I enjoys kayaking in my free time.
I teach kindergarten.",0.0,0.742,0.258,0.765,2
"I like to create websites.
I try to find easy ways to make money.
I wish i could play the stock market well.
I really enjoy reading the news.",0.0,0.483,0.517,0.945,2
"I do not like to eat meat.
I like fruit.
My favorite fruit is apple.
I like green apples.
I like to eat the skin of the apple.",0.277,0.624,0.099,-0.533,0
"I have lived in several different states.
I have a cat named kj.
I like to cook.
I worked as a nurse for many years.",0.0,0.878,0.122,0.3612,1
"I once rescued a baby on a highway.
I don t really like vegetables or fruit but i pretend.
I am not very good at playing basketball.
My family owns a dairy farm.",0.16,0.636,0.203,0.092,1
"My hair is very long.
I hate cooking.
My mom lives with me.
I enjoy video games.
I have a boyfriend who lives in italy.",0.152,0.726,0.122,-0.197,0
"I have aspergers.
I take everything literally.
I started a new job this year , which is helping me learn more about socialization.
I am very genuine , and don t like small talk.",0.0,0.836,0.164,0.5719,2
"I m very shy.
I m a children s librarian.
I wear glasses.
I m recently divorced.
I have no children of my own.",0.272,0.728,0.0,-0.5413,0
"I enjoy playing video games.
I live life to its fullest.
I enjoy listening to country music.
I have a crummy job at scrubway.
I am in college.",0.0,0.699,0.301,0.802,2
"My wife recently got laid off from her human resources job.
I have been on the design team for over 65 video games.
I design video games for a living.
I am trying to create my own startup company in the gaming industry.
My son plays on the local football team.",0.0,0.916,0.084,0.4767,1
"Dancing is my passion.
I drive a silver lexus.
I have a dog named socks.
I am terrible at math.",0.162,0.681,0.157,-0.0258,0
"I am former military.
I exercise 4 times a week.
I recently bought a camper.
My favorite sport is football.
I drive a truck for a living.",0.0,0.85,0.15,0.4588,1
"I just moved into an apartment within the vicinity of my new job.
I just graduated college with my bachelor s degree in education.
I love children.
I just accepted a job at the elementary school in my hometown.",0.0,0.831,0.169,0.743,2
"I have never kissed a woman.
People notice how organized i am.
I watch jimmy allons show every night.
I believe that i can achieve anything.",0.103,0.897,0.0,-0.2924,0
"I have lived in several different states.
I like to cook.
I worked as a nurse for many years.
My husband was a salesman.",0.0,0.878,0.122,0.3612,1
"I work in marketing , and i love it.
I spend a lot of time on my hair and make up.
I m hoping to find someone to marry me.
I m an only child.",0.0,0.774,0.226,0.7906,2
"My favorite color is blue.
I work full time.
I like to go hiking.
I like nature.",0.0,0.579,0.421,0.7906,2
"I am a personal chef.
I would like to open a restaurant someday.
In my free time , i watch movies and sleep.
I love creating new recipes.",0.0,0.582,0.418,0.9042,2
"I was a mechanic for 6 years.
I collect bugs in jars.
I build my own computers.
I thought of joining the military when i was younger.",0.0,1.0,0.0,0.0,1
"I love mexican food.
I love the summer.
I work at a animal clinic.
I have two kids i enjoy being on social media.",0.0,0.564,0.436,0.9118,2
"I am married.
I live in new york city.
I am a writer.
I enjoy going to museums.
I have ten nieces and nephews.",0.0,0.842,0.158,0.4939,1
"I do not have a job.
I love the walking dead.
I love comics.
I am a couch potato.",0.525,0.475,0.0,-0.9008,0
"I love chickens.
I work on a farm.
I know how to drive a truck.
I eat eggs for breakfast.",0.0,0.756,0.244,0.6369,2
"I enjoy cooking italian food.
I m in my last year of grad school.
I love trips to the beach.
I m the world s best aunt.",0.0,0.594,0.406,0.9118,2
"I watch foreign movies and tv shows.
I enjoy learning about other cultures.
I wish i could speak another language.
I m bored with my current lifestyle.
I sit on my computer for several hours a day.",0.062,0.765,0.174,0.5859,2
"I am vegan.
I work at the grocery store.
I help around with bookkeeping and tours.
Sometimes i volunteer at an urban farm.",0.0,0.87,0.13,0.4019,1
"I am a vegan.
I enjoy hiking.
My favorite artist is bob ross.
I got a job as an accountant 3 months ago.",0.0,0.708,0.292,0.7351,2
"Currently , i m saving up to get some procedures done.
I love her though.
I don t think my girlfriend understands.
I hope to one day be happy with myself.",0.0,0.66,0.34,0.8957,2
"I still like combat boots with babydoll dresses.
The death of kurt cobain marred my middle school years.
I want to visit rome , but i can t make myself go alone.
I flirted with the dmv officer in order to pass my driving exam.",0.181,0.753,0.066,-0.6187,0
"I am a technician.
My father was a dry wall finisher.
I love history.
I love to play softball.",0.0,0.505,0.495,0.8957,2
"My favorite hero is superman.
I want to grow up to be a superhero one day.
I am 8 years old.
My name is todd.
I love comic books.",0.0,0.623,0.377,0.9022,2
"I got engaged to be married in paris , france.
I am a redhead.
I ve danced since i was two.
I can say the alphabet backwards.",0.0,0.876,0.124,0.4019,1
"I do not eat meat.
I am witty.
I love to dance.
I read tons of books.",0.0,0.741,0.259,0.6369,2
"Playing quake on slackware linux makes me happy.
Both my moms tell me they love me when i call them.
I have three dogs and two cats.
I like to use a lot of exclamation marks when i type.",0.0,0.711,0.289,0.9042,2
"I work at a museum.
I like to go to the park.
I read a lot.
I am stuck in a wheel chair.",0.108,0.757,0.135,0.128,1
"I have 3 science classes.
I work part time in the campus library.
I commute by bus.
I am living at home but hope to live in the dorms next year.",0.0,0.867,0.133,0.5927,2
"I am an army ranger.
I secretly love my long deployments , because it gets me away from conventional life.
I have a wife and two kids back in the states.
I would be honored to give my life for my country.
I m not afraid to die.",0.0,0.768,0.232,0.9031,2
"My favorite food is mexican.
I am a teacher.
I grew up in new hampshire.
I love to dance.
I enjoy reading history books.",0.0,0.606,0.394,0.886,2
"I like to come up with new hairstyles.
I like to play volleyball.
I like to do my nails.
I like to pickle eggs.
I like to go on long hikes.",0.0,0.573,0.427,0.9169,2
"I enjoy playing retro video games on my 386.
My cat s name is leroy jenkins.
My suspenders sometimes make my shoulders hurt.
I have ink stains on all my shirts.",0.102,0.749,0.15,0.1531,1
"I like to play video games.
I have 2 turtles.
My favorite movie is gone with the wind.
My favorite color is red.
I have purple hair.",0.0,0.635,0.365,0.872,2
"I am a guy that enjoys being a guy.
I am close to my mother , but not to my father.
I like to hike and spend time outdoors.
I love to binge watch shows on streaming services.",0.0,0.714,0.286,0.9042,2
"I am an accountant.
My favorite musician is bruno mars.
I enjoy running.
I have 2 dogs.
I drive a red car.",0.0,0.693,0.307,0.7351,2
"Everyday after work i buy my dog a dog biscuit.
I currently work at target.
I am 5 7 tall.
I live in a house in california.",0.0,1.0,0.0,0.0,1
"I love to travel.
I like to eat pizza.
Dogs are my favorite animal.
I enjoy cooking and baking.",0.0,0.482,0.518,0.9169,2
"I like fruit.
I like green apples.
I like to eat the skin of the apple.
I don t like to eat meat.",0.0,0.583,0.417,0.8402,2
"I enjoy watching baseball.
I hate running.
My favorite color is orange.
I have 2 cats and a dog.
I am married with kids.",0.149,0.602,0.249,0.3612,1
"I am lactose intolerant.
My favorite color is orange.
I have 3 roommates.
I have a parakeet.",0.0,0.786,0.214,0.4588,1
"I can tell right away if i m going to like someone.
I love sunny days.
I love winning.
Coffee is important to me.",0.0,0.408,0.592,0.9578,2
"I vacation in florida every winter.
I was a champion downhill skier in college.
My sister is a published author.
My favorite color is yellow.",0.0,0.734,0.266,0.7845,2
"I have a cat named george.
I read autobiographies before bed.
My favorite band is metallica.
My favorite meal is chicken and rice.
I regularly go to the gym.",0.0,0.793,0.207,0.7184,2
"I am a digital artist.
My husband is an author and we have twins together.
I was born in france and moved to canada.
My favorite hobby is reading.",0.0,0.893,0.107,0.4588,1
"I would like to be a journalist one day.
I often help her sort books in the library.
My mother is a librarian.
I love to read fantasy novels and poetry.",0.0,0.71,0.29,0.8555,2
"I sometimes think i am shallow.
I love to go outside at night and eavesdrop on my neighbors arguments.
My mother is a professional make up artist.
If i want it , i buy it.",0.081,0.753,0.166,0.4215,1
"My hobbies include rock collecting and making macaroni art.
My lifes goal is to be the worlds foremost encyclopedia salesman.
I am a traveling encyclopedia salesman.
I once saw peyton manning at the grocery store.",0.0,1.0,0.0,0.0,1
"I used to work for monsanto.
I enjoy swimming.
I enjoy shopping online.
I am a mother.",0.0,0.61,0.39,0.7506,2
"My favorite band is rise against.
My favorite team is the raptors.
I usually go to bed late.
I like sports.
I am studying to be a dentist.",0.0,0.712,0.288,0.8176,2
"I have one cat.
I am short.
I like to sew.
My hair is brown.
I am not thin.",0.0,0.848,0.152,0.3612,1
"I like spending time with my friends and family.
I like to read a lot of books.
I like listening to all genres of music except country music.
I am not much of a fan of hot weather.
I would travel the world if i could.",0.043,0.724,0.233,0.8243,2
"I run track.
I love video games.
I wear glasses all day.
I swim often.
I take medication.",0.0,0.741,0.259,0.6369,2
"My favorite band is the punk band rancid.
I work at a gas station as a cashier.
My mother was a famous ballet dancer in london.
I will be moving to san diego in two months.",0.099,0.817,0.085,-0.128,0
